description,change1_sh,up1_sh,down1_sh,total1,up1,up2,up3,up4,down1,down2,down3,down4,level1,level2,level3,level4,up_ch1,up_ch2,up_ch3,up_ch4,down_ch1,down_ch2,down_ch3,down_ch4,total2,total3,total4,up2_sh,up3_sh,up4_sh,down2_sh,down3_sh,down4_sh,level1_sh,level2_sh,level3_sh,level4_sh,change2_sh,change3_sh,change4_sh,division,_merge
WOMEN'S COAT - SEE HELP SCREEN,.39762291,.14819017,.24943274,18510,2743,780,78,32,4617,1065,117,78,11150,3001,282,120,.29929128,.32334197,.2508018,.25003123,-.25959831,-.27630192,-.17142858,-.2,4846,477,230,.16095749,.16352202,.13913043,.21976888,.24528302,.33913043,.60237712,.6192736,.59119499,.52173913,.38072637,.40880504,.47826087,3,matched (3)
CIGARETTES 19,.39705881,.28641456,.11064426,1428,409,0,0,0,158,0,0,0,861,0,0,0,.012936087,,,,-.014358514,,,,0,0,0,,,,,,,.60294116,,,,,,,2,matched (3)
BLU-RAY PLAYER,.39500973,.15827753,.2367322,27774,4396,1266,0,0,6575,1461,0,0,16803,5610,0,0,.14823182,.1256521,,,-.11356603,-.10197025,,,8337,0,0,.15185319,,,.17524289,,,.6049903,.6729039,,,.32709607,,,9,matched (3)
CD ALBUM (TOP 40),.39299446,.19703119,.19596326,9364,1845,231,39,11,1835,223,29,6,5684,1094,67,49,.29372308,.30648926,.40805149,.32757938,-.20528677,-.24357921,-.29404461,-.25286198,1548,135,66,.1492248,.2888889,.16666667,.14405684,.21481481,.090909094,.60700554,.70671833,.49629629,.74242425,.29328164,.50370371,.25757575,9,matched (3)
PRE-RECORDED DVD (NON-FILM),.39246708,.18699601,.20547107,9797,1832,84,4,3,2013,110,8,6,5952,552,68,41,.31612852,.42692515,.3801282,.44017094,-.2407663,-.29133612,-.29365081,-.24603176,746,80,50,.11260054,.050000001,.059999999,.14745308,.1,.12,.60753292,.73994637,.85000002,.81999999,.26005363,.15000001,.17999999,9,matched (3)
FRESH VEG-CARROTS-PER KG,.39211807,.19714819,.19496988,89978,17739,1161,163,80,17543,1009,574,174,54696,10183,1247,715,.17693672,.15230395,.15766752,.17326435,-.14311667,-.15185075,-.087548703,-.094523564,12353,1984,969,.093985267,.082157262,.08255934,.081680566,.28931451,.17956656,.6078819,.82433414,.62852824,.73787409,.17566583,.37147176,.26212591,1,matched (3)
SMALL TYPE ORANGES PER PACK/KG,.39171568,.20813623,.18357944,24311,5060,1576,182,73,4463,1429,250,103,14788,5082,758,463,.20550101,.23184225,.14810939,.10213003,-.18472973,-.18489248,-.13027252,-.11744338,8087,1190,639,.19488068,.15294118,.114241,.17670335,.21008404,.16118936,.60828429,.628416,.63697481,.72456962,.37158403,.36302522,.27543038,1,matched (3)
CREAM LIQUER 70CL-1LT 15-20%,.38856149,.19891798,.18964352,10351,2059,1469,206,109,1963,1394,262,93,6329,4662,1084,740,.22582068,.23236409,.2467262,.24809524,-.17053944,-.17966512,-.22421768,-.20845239,7525,1552,942,.19521594,.13273196,.11571125,.18524916,.16881444,.098726116,.61143851,.61953491,.69845361,.78556263,.38046509,.30154639,.21443737,2,matched (3)
WASHING MACHINE - 2006,.38799506,.17945544,.20853961,1616,290,0,0,0,337,0,0,0,989,0,0,0,.056574751,,,,-.068830088,,,,0,0,0,,,,,,,.61200494,,,,,,,5,matched (3)
"FLAT PANEL TV 14""-22""",.38639984,.14964157,.23675826,10044,1503,0,0,0,2378,0,0,0,6163,0,0,0,.10587231,,,,-.095003299,,,,0,0,0,,,,,,,.61360013,,,,,,,9,matched (3)
PURE FRUIT SMOOTHIE 750ML-1LTR,.38416809,.18790166,.19626644,9803,1842,520,103,47,1924,491,145,92,6037,1632,335,234,.42562819,.45949471,.52327585,.42724136,-.26782876,-.32737869,-.34640539,-.33091959,2643,583,373,.19674613,.17667238,.12600537,.18577375,.24871355,.24664879,.61583191,.61748016,.57461405,.62734586,.38251987,.42538595,.37265414,1,matched (3)
DVD RECORDER,.38379228,.12609051,.25770175,14672,1850,0,0,0,3781,0,0,0,9041,0,0,0,.12375703,,,,-.093767762,,,,0,0,0,,,,,,,.61620772,,,,,,,9,matched (3)
DVD RECORDER,.38379228,.12609051,.25770175,14672,1850,0,0,0,3781,0,0,0,9041,0,0,0,.12375703,,,,-.093767762,,,,0,0,0,,,,,,,.61620772,,,,,,,9,matched (3)
BOOK-FICTION-HARD COVER-TOP 10,.38375634,.19583756,.18791878,9850,1929,0,0,0,1851,0,0,0,6070,0,0,0,.24203341,,,,-.20530227,,,,0,0,0,,,,,,,.61624366,,,,,,,9,matched (3)
PREMIUM POTATO CRISPS/CHIPS,.38261157,.20039669,.18221487,15125,3031,1168,301,179,2756,1182,312,246,9338,2066,599,329,.51886839,.84202915,.82155067,.7344811,-.32144862,-.43265262,-.44571006,-.41708869,4416,1212,754,.26449275,.24834983,.23740053,.26766303,.25742576,.32625994,.61738843,.46784419,.49422443,.43633953,.53215575,.50577557,.5636605,1,matched (3)
WHISKY-70 CL BOTTLE,.38228464,.203952,.17833263,56832,11591,940,228,135,10135,929,209,112,35106,2788,433,255,.11378806,.17964008,.14584391,.15272754,-.10080989,-.15212408,-.12394346,-.14166667,4657,870,502,.20184669,.26206896,.2689243,.19948465,.24022989,.22310758,.61771536,.59866869,.49770114,.50796813,.40133134,.50229883,.49203187,2,matched (3)
PORTABLE SPEAKER,.3816027,.17598557,.20561711,3881,683,492,319,189,798,647,371,281,2400,1849,1389,877,.17921205,.19945596,.17459047,.11933272,-.13615452,-.12765715,-.15143482,-.17346016,2988,2079,1347,.16465864,.15343915,.14031181,.2165328,.17845118,.20861173,.6183973,.61880857,.66810966,.6510765,.38119143,.33189034,.34892353,9,matched (3)
TEA BAGS-2-PACKET OF 240,.38045174,.18165599,.19879575,31389,5702,985,227,145,6240,1067,253,121,19447,3904,492,286,.31795168,.49797469,.42848393,.44057143,-.20299169,-.28842688,-.26374039,-.27093399,5956,972,552,.16537945,.23353909,.26268116,.17914708,.26028806,.21920291,.61954826,.65547347,.50617284,.51811594,.34452653,.49382716,.48188406,1,matched (3)
HOME KILLED LAMB-SHOULDER KG,.37949586,.2081427,.17135318,58359,12147,465,70,28,10000,406,47,20,36212,3376,463,251,.14778854,.18694623,.14366984,.18515921,-.13673753,-.14646204,-.11304355,-.1066316,4247,580,299,.10948905,.12068965,.093645483,.095596895,.081034482,.066889629,.62050414,.79491407,.79827589,.8394649,.20508595,.20172414,.16053511,1,matched (3)
PRE-RECORDED VIDEO TOP 20,.37695748,.17747949,.199478,2682,476,0,0,0,535,0,0,0,1671,0,0,0,.19409451,,,,-.17316326,,,,0,0,0,,,,,,,.62304252,,,,,,,9,matched (3)
WHITE WINE- NEW WORLD 75CL,.37510681,.194175,.18093179,39794,7727,1522,298,175,7200,1481,283,145,24867,4674,921,595,.25848332,.20233917,.18944672,.20606062,-.21194856,-.18525986,-.15123451,-.1460084,7677,1502,915,.19825453,.19840214,.19125684,.1929139,.18841545,.15846995,.62489319,.60883158,.61318243,.6502732,.39116842,.38681757,.3497268,2,matched (3)
APPLES-DESSERT-PER KG,.3730011,.20277116,.17022994,80544,16332,655,135,90,13711,637,143,19,50501,6858,901,493,.13664454,.16622379,.19705401,.18278773,-.12289332,-.15214814,-.13967614,-.12142877,8150,1179,602,.080368102,.11450382,.14950167,.078159511,.12128923,.03156146,.6269989,.84147239,.76420695,.81893688,.15852761,.23579305,.18106313,1,matched (3)
PROTEIN POWDER 900G-2KG,.37233174,.17987764,.19245411,14710,2646,1760,389,199,2831,1739,342,193,9233,5177,1161,775,.45813197,.49724209,.55813962,.52613252,-.26505727,-.2823908,-.36565328,-.33932635,8676,1892,1167,.20285846,.20560254,.1705227,.20043799,.1807611,.16538131,.62766826,.59670353,.61363637,.664096,.40329647,.38636363,.335904,1,matched (3)
