description,type,name,year,region_s,price
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988,London,.98000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988,South East,.98000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988,South West,.92000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988,East Anglia,.92000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988,East Midlands,.88
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988,West Midlands,.82999998
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988,Yorkshire & Humber,.83999997
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988,North West,.81999999
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988,North,.86000001
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988,Wales,.82999998
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988,Scotland,.92000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,1988,Northern Ireland,1
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988,London,11.32
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988,South East,11.77
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988,South West,11.719999
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988,East Anglia,8.25
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988,East Midlands,8.9499998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988,West Midlands,11.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988,Yorkshire & Humber,8.29
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988,North West,8.6499996
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988,North,8.1899996
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988,Wales,8.25
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988,Scotland,11.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1988,Northern Ireland,10.89
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988,London,3.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988,South East,3.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988,South West,4.3499999
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988,East Anglia,3.29
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988,East Midlands,3.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988,West Midlands,3.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988,Yorkshire & Humber,2.5899999
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988,North West,2.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988,North,2.45
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988,Wales,4.1900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988,Scotland,4.1900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,1988,Northern Ireland,3.49
DRAUGHT STOUT PER PINT,Drink,Stout,1988,London,1.16
DRAUGHT STOUT PER PINT,Drink,Stout,1988,South East,1.16
DRAUGHT STOUT PER PINT,Drink,Stout,1988,South West,1.12
DRAUGHT STOUT PER PINT,Drink,Stout,1988,East Anglia,1.12
DRAUGHT STOUT PER PINT,Drink,Stout,1988,East Midlands,1.0599999
DRAUGHT STOUT PER PINT,Drink,Stout,1988,West Midlands,1.04
DRAUGHT STOUT PER PINT,Drink,Stout,1988,Yorkshire & Humber,1.0599999
DRAUGHT STOUT PER PINT,Drink,Stout,1988,North West,1.04
DRAUGHT STOUT PER PINT,Drink,Stout,1988,North,1.05
DRAUGHT STOUT PER PINT,Drink,Stout,1988,Wales,1.02
DRAUGHT STOUT PER PINT,Drink,Stout,1988,Scotland,1.04
DRAUGHT STOUT PER PINT,Drink,Stout,1988,Northern Ireland,1
WHISKY-70 CL BOTTLE,Drink,Whisky,1988,London,8.1899996
WHISKY-70 CL BOTTLE,Drink,Whisky,1988,South East,8.29
WHISKY-70 CL BOTTLE,Drink,Whisky,1988,South West,8.1700001
WHISKY-70 CL BOTTLE,Drink,Whisky,1988,East Anglia,8.29
WHISKY-70 CL BOTTLE,Drink,Whisky,1988,East Midlands,8.3900003
WHISKY-70 CL BOTTLE,Drink,Whisky,1988,West Midlands,8.29
WHISKY-70 CL BOTTLE,Drink,Whisky,1988,Yorkshire & Humber,7.9899998
WHISKY-70 CL BOTTLE,Drink,Whisky,1988,North West,8.1499996
WHISKY-70 CL BOTTLE,Drink,Whisky,1988,North,7.9899998
WHISKY-70 CL BOTTLE,Drink,Whisky,1988,Wales,7.5900002
WHISKY-70 CL BOTTLE,Drink,Whisky,1988,Scotland,8.125
WHISKY-70 CL BOTTLE,Drink,Whisky,1988,Northern Ireland,8.0900002
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989,London,1.1
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989,South East,1.0599999
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989,South West,1
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989,East Anglia,1
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989,East Midlands,.95999998
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989,West Midlands,.88999999
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989,Yorkshire & Humber,.91000003
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989,North West,.88
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989,North,.92000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989,Wales,.88999999
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989,Scotland,.98000002
DRAUGHT BITTER (PER PINT),Drink,Bitter,1989,Northern Ireland,1.05
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989,London,11.99
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989,South East,8.4899998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989,South West,11.95
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989,East Anglia,8.29
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989,East Midlands,8.5900002
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989,West Midlands,7.9899998
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989,Yorkshire & Humber,8.6899996
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989,North West,8.6899996
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989,North,8.3500004
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989,Wales,8.79
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989,Scotland,11.49
BRANDY-68-70 CL BOTTLE,Drink,Brandy,1989,Northern Ireland,6.9899998
FORTIFIED WINE  (70-75CL),Drink,Sherry,1989,London,4.5900002
FORTIFIED WINE  (70-75CL),Drink,Sherry,1989,South East,4.3899999
FORTIFIED WINE  (70-75CL),Drink,Sherry,1989,South West,4.3499999
FORTIFIED WINE  (70-75CL),Drink,Sherry,1989,East Anglia,3.1900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,1989,East Midlands,3.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,1989,West Midlands,3.1199999
FORTIFIED WINE  (70-75CL),Drink,Sherry,1989,Yorkshire & Humber,2.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,1989,North West,2.99
FORTIFIED WINE  (70-75CL),Drink,Sherry,1989,North,3.1900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,1989,Wales,3.6900001
FORTIFIED WINE  (70-75CL),Drink,Sherry,1989,Scotland,4.1999998
FORTIFIED WINE  (70-75CL),Drink,Sherry,1989,Northern Ireland,4.29
DRAUGHT STOUT PER PINT,Drink,Stout,1989,London,1.26
DRAUGHT STOUT PER PINT,Drink,Stout,1989,South East,1.24
DRAUGHT STOUT PER PINT,Drink,Stout,1989,South West,1.2
DRAUGHT STOUT PER PINT,Drink,Stout,1989,East Anglia,1.1799999
DRAUGHT STOUT PER PINT,Drink,Stout,1989,East Midlands,1.15
DRAUGHT STOUT PER PINT,Drink,Stout,1989,West Midlands,1.12
DRAUGHT STOUT PER PINT,Drink,Stout,1989,Yorkshire & Humber,1.13
DRAUGHT STOUT PER PINT,Drink,Stout,1989,North West,1.11
DRAUGHT STOUT PER PINT,Drink,Stout,1989,North,1.11
DRAUGHT STOUT PER PINT,Drink,Stout,1989,Wales,1.1
DRAUGHT STOUT PER PINT,Drink,Stout,1989,Scotland,1.08
DRAUGHT STOUT PER PINT,Drink,Stout,1989,Northern Ireland,1.0599999
