WEO Country Code,ISO,WEO Subject Code,Country,Subject Descriptor,Units,Scale,Value
512,AFG,NGDP_R,Afghanistan,"Gross domestic product, constant prices",National currency,Billions,"1,288.87"
512,AFG,NGDP_RPCH,Afghanistan,"Gross domestic product, constant prices",Percent change,,-2.351
512,AFG,NGDP,Afghanistan,"Gross domestic product, current prices",National currency,Billions,"1,547.29"
512,AFG,NGDPD,Afghanistan,"Gross domestic product, current prices",U.S. dollars,Billions,20.136
512,AFG,PPPGDP,Afghanistan,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,80.912
512,AFG,NGDP_D,Afghanistan,"Gross domestic product, deflator",Index,,120.05
512,AFG,NGDPRPC,Afghanistan,"Gross domestic product per capita, constant prices",National currency,Units,"39,127.08"
512,AFG,NGDPRPPPPC,Afghanistan,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"2,328.76"
512,AFG,NGDPPC,Afghanistan,"Gross domestic product per capita, current prices",National currency,Units,"46,972.10"
512,AFG,NGDPDPC,Afghanistan,"Gross domestic product per capita, current prices",U.S. dollars,Units,611.268
512,AFG,PPPPC,Afghanistan,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"2,456.29"
512,AFG,NGAP_NPGDP,Afghanistan,Output gap in percent of potential GDP,Percent of potential GDP,,
512,AFG,PPPSH,Afghanistan,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.061
512,AFG,PPPEX,Afghanistan,Implied PPP conversion rate,National currency per current international dollar,,19.123
512,AFG,NID_NGDP,Afghanistan,Total investment,Percent of GDP,,16.462
512,AFG,NGSD_NGDP,Afghanistan,Gross national savings,Percent of GDP,,27.619
512,AFG,PCPI,Afghanistan,"Inflation, average consumer prices",Index,,120.671
512,AFG,PCPIPCH,Afghanistan,"Inflation, average consumer prices",Percent change,,5.607
512,AFG,PCPIE,Afghanistan,"Inflation, end of period consumer prices",Index,,122.1
512,AFG,PCPIEPCH,Afghanistan,"Inflation, end of period consumer prices",Percent change,,4.987
512,AFG,TM_RPCH,Afghanistan,Volume of imports of goods and services,Percent change,,-2.925
512,AFG,TMG_RPCH,Afghanistan,Volume of Imports of goods,Percent change,,-2.844
512,AFG,TX_RPCH,Afghanistan,Volume of exports of goods and services,Percent change,,0.534
512,AFG,TXG_RPCH,Afghanistan,Volume of exports of goods,Percent change,,-16.606
512,AFG,LUR,Afghanistan,Unemployment rate,Percent of total labor force,,
512,AFG,LE,Afghanistan,Employment,Persons,Millions,
512,AFG,LP,Afghanistan,Population,Persons,Millions,32.941
512,AFG,GGR,Afghanistan,General government revenue,National currency,Billions,397.564
512,AFG,GGR_NGDP,Afghanistan,General government revenue,Percent of GDP,,25.694
512,AFG,GGX,Afghanistan,General government total expenditure,National currency,Billions,432.266
512,AFG,GGX_NGDP,Afghanistan,General government total expenditure,Percent of GDP,,27.937
512,AFG,GGXCNL,Afghanistan,General government net lending/borrowing,National currency,Billions,-34.703
512,AFG,GGXCNL_NGDP,Afghanistan,General government net lending/borrowing,Percent of GDP,,-2.243
512,AFG,GGSB,Afghanistan,General government structural balance,National currency,Billions,
512,AFG,GGSB_NPGDP,Afghanistan,General government structural balance,Percent of potential GDP,,
512,AFG,GGXONLB,Afghanistan,General government primary net lending/borrowing,National currency,Billions,-34.131
512,AFG,GGXONLB_NGDP,Afghanistan,General government primary net lending/borrowing,Percent of GDP,,-2.206
512,AFG,GGXWDN,Afghanistan,General government net debt,National currency,Billions,
512,AFG,GGXWDN_NGDP,Afghanistan,General government net debt,Percent of GDP,,
512,AFG,GGXWDG,Afghanistan,General government gross debt,National currency,Billions,114.461
512,AFG,GGXWDG_NGDP,Afghanistan,General government gross debt,Percent of GDP,,7.397
512,AFG,NGDP_FY,Afghanistan,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"1,547.29"
512,AFG,BCA,Afghanistan,Current account balance,U.S. dollars,Billions,2.247
512,AFG,BCA_NGDPD,Afghanistan,Current account balance,Percent of GDP,,11.157
914,ALB,NGDP_R,Albania,"Gross domestic product, constant prices",National currency,Billions,808.617
914,ALB,NGDP_RPCH,Albania,"Gross domestic product, constant prices",Percent change,,-3.482
914,ALB,NGDP,Albania,"Gross domestic product, current prices",National currency,Billions,"1,644.08"
914,ALB,NGDPD,Albania,"Gross domestic product, current prices",U.S. dollars,Billions,15.161
914,ALB,PPPGDP,Albania,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,40.658
914,ALB,NGDP_D,Albania,"Gross domestic product, deflator",Index,,203.32
914,ALB,NGDPRPC,Albania,"Gross domestic product per capita, constant prices",National currency,Units,"280,984.50"
914,ALB,NGDPRPPPPC,Albania,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"13,394.46"
914,ALB,NGDPPC,Albania,"Gross domestic product per capita, current prices",National currency,Units,"571,296.57"
914,ALB,NGDPDPC,Albania,"Gross domestic product per capita, current prices",U.S. dollars,Units,"5,268.24"
914,ALB,PPPPC,Albania,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"14,128.00"
914,ALB,NGAP_NPGDP,Albania,Output gap in percent of potential GDP,Percent of potential GDP,,
914,ALB,PPPSH,Albania,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.031
914,ALB,PPPEX,Albania,Implied PPP conversion rate,National currency per current international dollar,,40.437
914,ALB,NID_NGDP,Albania,Total investment,Percent of GDP,,22.79
914,ALB,NGSD_NGDP,Albania,Gross national savings,Percent of GDP,,14.074
914,ALB,PCPI,Albania,"Inflation, average consumer prices",Index,,108.613
914,ALB,PCPIPCH,Albania,"Inflation, average consumer prices",Percent change,,1.621
914,ALB,PCPIE,Albania,"Inflation, end of period consumer prices",Index,,108.225
914,ALB,PCPIEPCH,Albania,"Inflation, end of period consumer prices",Percent change,,1.051
914,ALB,TM_RPCH,Albania,Volume of imports of goods and services,Percent change,,-19.517
914,ALB,TMG_RPCH,Albania,Volume of Imports of goods,Percent change,,-5.044
914,ALB,TX_RPCH,Albania,Volume of exports of goods and services,Percent change,,-27.509
914,ALB,TXG_RPCH,Albania,Volume of exports of goods,Percent change,,-1.677
914,ALB,LUR,Albania,Unemployment rate,Percent of total labor force,,11.675
914,ALB,LE,Albania,Employment,Persons,Millions,
914,ALB,LP,Albania,Population,Persons,Millions,2.878
914,ALB,GGR,Albania,General government revenue,National currency,Billions,425.906
914,ALB,GGR_NGDP,Albania,General government revenue,Percent of GDP,,25.905
914,ALB,GGX,Albania,General government total expenditure,National currency,Billions,536.28
914,ALB,GGX_NGDP,Albania,General government total expenditure,Percent of GDP,,32.619
914,ALB,GGXCNL,Albania,General government net lending/borrowing,National currency,Billions,-110.374
914,ALB,GGXCNL_NGDP,Albania,General government net lending/borrowing,Percent of GDP,,-6.713
914,ALB,GGSB,Albania,General government structural balance,National currency,Billions,
914,ALB,GGSB_NPGDP,Albania,General government structural balance,Percent of potential GDP,,
914,ALB,GGXONLB,Albania,General government primary net lending/borrowing,National currency,Billions,-75.98
914,ALB,GGXONLB_NGDP,Albania,General government primary net lending/borrowing,Percent of GDP,,-4.621
914,ALB,GGXWDN,Albania,General government net debt,National currency,Billions,"1,148.35"
914,ALB,GGXWDN_NGDP,Albania,General government net debt,Percent of GDP,,69.848
914,ALB,GGXWDG,Albania,General government gross debt,National currency,Billions,"1,248.30"
914,ALB,GGXWDG_NGDP,Albania,General government gross debt,Percent of GDP,,75.927
914,ALB,NGDP_FY,Albania,"Gross domestic product corresponding to fiscal year, current prices",National currency,Billions,"1,644.08"
914,ALB,BCA,Albania,Current account balance,U.S. dollars,Billions,-1.315
914,ALB,BCA_NGDPD,Albania,Current account balance,Percent of GDP,,-8.677
612,DZA,NGDP_R,Algeria,"Gross domestic product, constant prices",National currency,Billions,"7,157.75"
612,DZA,NGDP_RPCH,Algeria,"Gross domestic product, constant prices",Percent change,,-4.9
612,DZA,NGDP,Algeria,"Gross domestic product, current prices",National currency,Billions,"18,723.50"
612,DZA,NGDPD,Algeria,"Gross domestic product, current prices",U.S. dollars,Billions,147.6
612,DZA,PPPGDP,Algeria,"Gross domestic product, current prices",Purchasing power parity; international dollars,Billions,497.091
612,DZA,NGDP_D,Algeria,"Gross domestic product, deflator",Index,,261.583
612,DZA,NGDPRPC,Algeria,"Gross domestic product per capita, constant prices",National currency,Units,"163,228.98"
612,DZA,NGDPRPPPPC,Algeria,"Gross domestic product per capita, constant prices",Purchasing power parity; 2017 international dollar,Units,"10,747.35"
612,DZA,NGDPPC,Algeria,"Gross domestic product per capita, current prices",National currency,Units,"426,980.00"
612,DZA,NGDPDPC,Algeria,"Gross domestic product per capita, current prices",U.S. dollars,Units,"3,365.93"
612,DZA,PPPPC,Algeria,"Gross domestic product per capita, current prices",Purchasing power parity; international dollars,Units,"11,335.92"
612,DZA,NGAP_NPGDP,Algeria,Output gap in percent of potential GDP,Percent of potential GDP,,
612,DZA,PPPSH,Algeria,Gross domestic product based on purchasing-power-parity (PPP) share of world total,Percent,,0.375
612,DZA,PPPEX,Algeria,Implied PPP conversion rate,National currency per current international dollar,,37.666
612,DZA,NID_NGDP,Algeria,Total investment,Percent of GDP,,42.597
612,DZA,NGSD_NGDP,Algeria,Gross national savings,Percent of GDP,,29.921
612,DZA,PCPI,Algeria,"Inflation, average consumer prices",Index,,211.18
612,DZA,PCPIPCH,Algeria,"Inflation, average consumer prices",Percent change,,2.415
612,DZA,PCPIE,Algeria,"Inflation, end of period consumer prices",Index,,215.21
612,DZA,PCPIEPCH,Algeria,"Inflation, end of period consumer prices",Percent change,,3.516
612,DZA,TM_RPCH,Algeria,Volume of imports of goods and services,Percent change,,-18.914
612,DZA,TMG_RPCH,Algeria,Volume of Imports of goods,Percent change,,-18.097
612,DZA,TX_RPCH,Algeria,Volume of exports of goods and services,Percent change,,-4.154
612,DZA,TXG_RPCH,Algeria,Volume of exports of goods,Percent change,,-9.322
612,DZA,LUR,Algeria,Unemployment rate,Percent of total labor force,,14.652
612,DZA,LE,Algeria,Employment,Persons,Millions,
612,DZA,LP,Algeria,Population,Persons,Millions,43.851
612,DZA,GGR,Algeria,General government revenue,National currency,Billions,"5,640.94"
