Year,Country,Value1,Value2,Detail
2016,Canada,1.528,1.4678832,V1: GDP ($ trillion)
2017,Canada,1.64927,1.5023983,V2: National gross debt ($ trillion)
2018,Canada,1.72182,1.5657721,Source: IMF World Economic Outlook
2019,Canada,1.74158,1.5848743,
2020,Canada,1.64341,2.0518749,
2016,France,2.47228,2.516775,
2017,France,2.59424,2.59739,
2018,France,2.79116,2.662135,
2019,France,2.7172,2.737115,
2020,France,2.59891,2.971278,
2016,Germany,3.4689,2.4973975,
2017,Germany,3.6813,2.4405875,
2018,Germany,3.96557,2.38464,
2019,Germany,3.86155,2.3657455,
2020,Germany,3.80301,2.641297,
2016,Italy,1.87655,2.6284745,
2017,Italy,1.96111,2.678764,
2018,Italy,2.09309,2.7380925,
2019,Italy,2.00514,2.771385,
2020,Italy,1.88494,2.954649,
2016,Japan,5.00368,11.391804,
2017,Japan,4.93084,11.5191,
2018,Japan,5.03689,11.6387289,
2019,Japan,5.14878,11.8636803,
2020,Japan,5.04869,12.43074915,
2016,UK,2.70324,2.3540512,
2017,UK,2.66471,2.4284568,
2018,UK,2.86098,2.4984968,
2019,UK,2.8333,2.5718552,
2020,UK,2.71097,2.9788896,
2016,United States,18.7451,19.98642,
2017,United States,19.54298,20.64215,
2018,United States,20.61188,21.97229,
2019,United States,21.43323,23.18859,
2020,United States,20.93275,26.60834,
