Year,Country,Value1,Value2,Detail
2016,Canada,1528000,1467883.2,V1: GDP ($ million)
2017,Canada,1649270,1502398.3,V2: National gross debt ($ million)
2018,Canada,1721820,1565772.1,Source: IMF World Economic Outlook
2019,Canada,1741580,1584874.3,
2020,Canada,1643410,2051874.9,
2016,France,2472280,2516775,
2017,France,2594240,2597390,
2018,France,2791160,2662135,
2019,France,2717200,2737115,
2020,France,2598910,2971278,
2016,Germany,3468900,2497397.5,
2017,Germany,3681300,2440587.5,
2018,Germany,3965570,2384640,
2019,Germany,3861550,2365745.5,
2020,Germany,3803010,2641297,
2016,Italy,1876550,2628474.5,
2017,Italy,1961110,2678764,
2018,Italy,2093090,2738092.5,
2019,Italy,2005140,2771385,
2020,Italy,1884940,2954649,
2016,Japan,5003680,11391804,
2017,Japan,4930840,11519100,
2018,Japan,5036890,11638728.9,
2019,Japan,5148780,11863680.3,
2020,Japan,5048690,12430749.15,
2016,UK,2703240,2354051.2,
2017,UK,2664710,2428456.8,
2018,UK,2860980,2498496.8,
2019,UK,2833300,2571855.2,
2020,UK,2710970,2978889.6,
2016,United States,18745100,19986420,
2017,United States,19542980,20642150,
2018,United States,20611880,21972290,
2019,United States,21433230,23188590,
2020,United States,20932750,26608340,
