Year,Region,Value,Metric,Detail
1970,Sub Saharan Africa,271.4065,Total fossil CO2 emissions (million tonnes),V1: Total fossil CO2 emissions
1971,Sub Saharan Africa,284.89,Total fossil CO2 emissions (million tonnes),V2: Per capita emissions
1972,Sub Saharan Africa,307.0701,Total fossil CO2 emissions (million tonnes),Source: Authors' calculations
1973,Sub Saharan Africa,350.0824,Total fossil CO2 emissions (million tonnes),Kyoto: 1997
1974,Sub Saharan Africa,379.0392,Total fossil CO2 emissions (million tonnes),Copenhagen: 2009
1975,Sub Saharan Africa,368.6971,Total fossil CO2 emissions (million tonnes),Paris: 2015
1976,Sub Saharan Africa,393.8836,Total fossil CO2 emissions (million tonnes),
1977,Sub Saharan Africa,384.8039,Total fossil CO2 emissions (million tonnes),
1978,Sub Saharan Africa,367.7654,Total fossil CO2 emissions (million tonnes),
1979,Sub Saharan Africa,404.1746,Total fossil CO2 emissions (million tonnes),
1980,Sub Saharan Africa,411.7625,Total fossil CO2 emissions (million tonnes),
1981,Sub Saharan Africa,407.4442,Total fossil CO2 emissions (million tonnes),
1982,Sub Saharan Africa,407.5956,Total fossil CO2 emissions (million tonnes),
1983,Sub Saharan Africa,412.2935,Total fossil CO2 emissions (million tonnes),
1984,Sub Saharan Africa,431.5847,Total fossil CO2 emissions (million tonnes),
1985,Sub Saharan Africa,443.8633,Total fossil CO2 emissions (million tonnes),
1986,Sub Saharan Africa,442.1137,Total fossil CO2 emissions (million tonnes),
1987,Sub Saharan Africa,459.9741,Total fossil CO2 emissions (million tonnes),
1988,Sub Saharan Africa,473.7106,Total fossil CO2 emissions (million tonnes),
1989,Sub Saharan Africa,474.8604,Total fossil CO2 emissions (million tonnes),
1990,Sub Saharan Africa,479.6162,Total fossil CO2 emissions (million tonnes),
1991,Sub Saharan Africa,477.5316,Total fossil CO2 emissions (million tonnes),
1992,Sub Saharan Africa,479.3575,Total fossil CO2 emissions (million tonnes),
1993,Sub Saharan Africa,477.2842,Total fossil CO2 emissions (million tonnes),
1994,Sub Saharan Africa,486.7276,Total fossil CO2 emissions (million tonnes),
1995,Sub Saharan Africa,516.4262,Total fossil CO2 emissions (million tonnes),
1996,Sub Saharan Africa,549.5706,Total fossil CO2 emissions (million tonnes),
1997,Sub Saharan Africa,568.079,Total fossil CO2 emissions (million tonnes),
1998,Sub Saharan Africa,569.0698,Total fossil CO2 emissions (million tonnes),
1999,Sub Saharan Africa,557.5619,Total fossil CO2 emissions (million tonnes),
2000,Sub Saharan Africa,573.3071,Total fossil CO2 emissions (million tonnes),
2001,Sub Saharan Africa,593.1564,Total fossil CO2 emissions (million tonnes),
2002,Sub Saharan Africa,596.57,Total fossil CO2 emissions (million tonnes),
2003,Sub Saharan Africa,631.6548,Total fossil CO2 emissions (million tonnes),
2004,Sub Saharan Africa,664.0112,Total fossil CO2 emissions (million tonnes),
2005,Sub Saharan Africa,679.8535,Total fossil CO2 emissions (million tonnes),
2006,Sub Saharan Africa,680.5752,Total fossil CO2 emissions (million tonnes),
2007,Sub Saharan Africa,698.035,Total fossil CO2 emissions (million tonnes),
2008,Sub Saharan Africa,740.4526,Total fossil CO2 emissions (million tonnes),
2009,Sub Saharan Africa,705.288,Total fossil CO2 emissions (million tonnes),
2010,Sub Saharan Africa,740.964,Total fossil CO2 emissions (million tonnes),
2011,Sub Saharan Africa,737.5818,Total fossil CO2 emissions (million tonnes),
2012,Sub Saharan Africa,768.1745,Total fossil CO2 emissions (million tonnes),
2013,Sub Saharan Africa,791.6397,Total fossil CO2 emissions (million tonnes),
2014,Sub Saharan Africa,810.9849,Total fossil CO2 emissions (million tonnes),
2015,Sub Saharan Africa,821.9876,Total fossil CO2 emissions (million tonnes),
2016,Sub Saharan Africa,844.6313,Total fossil CO2 emissions (million tonnes),
2017,Sub Saharan Africa,852.3878,Total fossil CO2 emissions (million tonnes),
2018,Sub Saharan Africa,864.9573,Total fossil CO2 emissions (million tonnes),
1970,Latin America and Caribbean,531.5656,Total fossil CO2 emissions (million tonnes),
1971,Latin America and Caribbean,533.7449,Total fossil CO2 emissions (million tonnes),
1972,Latin America and Caribbean,566.718,Total fossil CO2 emissions (million tonnes),
1973,Latin America and Caribbean,615.5353,Total fossil CO2 emissions (million tonnes),
1974,Latin America and Caribbean,642.6953,Total fossil CO2 emissions (million tonnes),
1975,Latin America and Caribbean,654.2959,Total fossil CO2 emissions (million tonnes),
1976,Latin America and Caribbean,699.7504,Total fossil CO2 emissions (million tonnes),
1977,Latin America and Caribbean,726.6924,Total fossil CO2 emissions (million tonnes),
1978,Latin America and Caribbean,778.4816,Total fossil CO2 emissions (million tonnes),
1979,Latin America and Caribbean,822.1429,Total fossil CO2 emissions (million tonnes),
1980,Latin America and Caribbean,852.7563,Total fossil CO2 emissions (million tonnes),
1981,Latin America and Caribbean,852.4805,Total fossil CO2 emissions (million tonnes),
1982,Latin America and Caribbean,863.1743,Total fossil CO2 emissions (million tonnes),
1983,Latin America and Caribbean,838.1635,Total fossil CO2 emissions (million tonnes),
1984,Latin America and Caribbean,852.3432,Total fossil CO2 emissions (million tonnes),
1985,Latin America and Caribbean,860.518,Total fossil CO2 emissions (million tonnes),
1986,Latin America and Caribbean,895.1893,Total fossil CO2 emissions (million tonnes),
1987,Latin America and Caribbean,925.2163,Total fossil CO2 emissions (million tonnes),
