State,RegularJobLow,RegularJobHigh,StateOwnedLow,StateOwnedHigh
Alabama,0,0,0.25,0.75
Alaska,0.3,1.25,0.65,4.9
Arizona,0.15,0.5,0.2,0.8
Arkansas,0,0,0,0
California,0.08,0.37,0.3,0.95
Colorado,0.13,0.38,n/a,n/a
Connecticut,0.13,1,0.3,1.5
Delaware,n/a,n/a,0.25,2
Florida,0,0.32,0.2,0.55
Georgia,0,0,0,0
Hawaii,0.25,0.25,0.5,2.5
Idaho,0.1,0.9,n/a,n/a
Illinois,0.09,0.89,0.3,2.25
Indiana,0.12,0.25,n/a,n/a
Iowa,0.27,0.68,0.58,0.87
Kansas,0.09,0.16,0.25,3
Kentucky,0.13,0.33,n/a,n/a
Louisiana,0.04,1,n/a,0.4
Maine,n/a,n/a,0.58,3.5
Maryland,0.15,0.46,0.2,0.82
Massachusetts,0.14,1,n/a,n/a
Michigan,0.14,0.56,n/a,n/a
Minnesota,0.25,2,0.5,2
Mississippi,0,n/a,0.2,1.3
Missouri,0.05,n/a,0.3,1.25
Montana,0.16,1.25,n/a,n/a
Nebraska,0.16,1.08,0.38,1.08
Nevada,n/a,n/a,0.25,5.15
New Hampshire,0.25,1.5,0.5,1.5
New Jersey,0.26,2,0.38,2
New Mexico,0.1,1,0.3,1.1
New York,0.1,0.33,Average 0.62,
North Carolina,0.05,0.38,0.05,0.38
North Dakota,0.19,0.88,0.45,1.69
Ohio,0.1,0.17,0.21,1.23
Oklahoma,0.05,0.54,0,0.43
Oregon,0.05,0.47,0.05,0.47
Pennsylvania,0.19,1,0.19,0.42
Rhode Island,0.29,0.86,n/a,n/a
South Carolina,0,0,0.35,1.8
South Dakota,0.25,0.38,0.25,0.25
Tennessee,0.17,0.75,n/a,n/a
Texas,0,0,0,0
Utah,0.4,n/a,0.6,1.75
Vermont,0.25,0.4,0.25,1.25
Virginia,0.27,0.45,0.55,0.8
Washington,n/a,0.36,0.7,2.7
West Virginia,0.04,0.58,n/a,n/a
Wisconsin,0.09,0.42,0.79,1.41
Wyoming,0.35,1,0.5,1.2
Federal Prisons,0.12,0.4,0.23,1.15
Average,0.14,0.63,0.33,1.41
