year,Industry,entryRate,growRate,exitRate,shrinkRate
1997,Other,0.059129148,0.0598007,0.075156154,0.06500343
1997,Automotive,0.088228566,0.095365541,0.090275872,0.047854333
1997,Retail,0.092746783,0.110450238,0.082090048,0.068040857
1997,Construction,0.13494142,0.10288344,0.088348414,0.050688068
1997,Hospitality,0.144108012,0.139442073,0.095919786,0.142354148
1997,Recreation & culture,0.108774465,0.085748063,0.07165375,0.051556548
1997,Other service,0.126204048,0.10843876,0.090653612,0.045053723
1997,Transport,0.094531195,0.10499965,0.081506897,0.050749247
1997,Wholesale,0.0897031,0.11036967,0.080897977,0.050087324
1997,IT,0.259825998,0.089634526,0.063086553,0.031077985
1997,Manufacturing,0.092797702,0.096213265,0.1100384,0.074900544
1997,Other business,0.136542049,0.099182248,0.085884638,0.054827217
1998,Other business,0.113244146,0.100666178,0.094516612,0.059198283
1998,Construction,0.091669444,0.092046631,0.107458641,0.059349836
1998,Other service,0.097092816,0.092612392,0.111450537,0.053520697
1998,Recreation & culture,0.083575544,0.088493279,0.079605024,0.058299164
1998,Wholesale,0.077222602,0.098987902,0.088918943,0.054461552
1998,Transport,0.080256197,0.097259329,0.103540402,0.053256427
1998,Automotive,0.070232986,0.085493946,0.096893138,0.060113294
1998,Manufacturing,0.068548949,0.097300416,0.118233632,0.080808483
1998,Hospitality,0.120183269,0.131049262,0.129944914,0.10280294
1998,Retail,0.077701393,0.103871524,0.093264249,0.064407494
1998,IT,0.206371917,0.098822401,0.068970425,0.032908339
1998,Other,0.045420733,0.059917257,0.08116368,0.079060291
1999,Manufacturing,0.066346095,0.125667012,0.1142847,0.080502972
1999,Automotive,0.06920841,0.11506997,0.098403694,0.059281311
1999,Recreation & culture,0.086396776,0.09267341,0.077373312,0.058299533
1999,Retail,0.07911262,0.129822219,0.103628109,0.060834732
1999,Wholesale,0.082541368,0.108278064,0.102094378,0.053978271
1999,Other,0.046230159,0.064044566,0.07294807,0.077564427
1999,Construction,0.085537048,0.13439083,0.110152829,0.05842277
1999,Other business,0.115767568,0.118551986,0.092111585,0.061575599
1999,Hospitality,0.123121335,0.186623775,0.105483566,0.121101891
1999,Other service,0.095213761,0.10710015,0.110524003,0.068558814
1999,Transport,0.077211127,0.123591298,0.111929387,0.052906562
1999,IT,0.133349853,0.107763107,0.073928281,0.035477362
2000,Retail,0.083643335,0.109975423,0.107679502,0.067871697
2000,Manufacturing,0.065428599,0.090391701,0.115126514,0.095451215
2000,Other service,0.098519742,0.091492876,0.111999015,0.071171384
2000,Automotive,0.067291198,0.097949997,0.101234868,0.066123244
2000,Transport,0.0767186,0.118068375,0.107546334,0.067987152
2000,Construction,0.083036228,0.101114699,0.184261512,0.069248463
2000,Hospitality,0.132647732,0.141806934,0.125477042,0.128309163
2000,Wholesale,0.07119766,0.096545316,0.100323277,0.059679488
2000,IT,0.132232681,0.120442857,0.070033973,0.041297955
2000,Other business,0.108580281,0.109043352,0.096877219,0.061293736
2000,Recreation & culture,0.083902068,0.080197894,0.083902068,0.060953952
2000,Other,0.046174289,0.055753372,0.074248997,0.081396296
2001,Transport,0.08187002,0.101261282,0.154110494,0.111287338
2001,Manufacturing,0.064112295,0.099397043,0.210030041,0.151904553
2001,IT,0.108889603,0.162232582,0.097563263,0.063684711
2001,Other service,0.103162016,0.098654889,0.130947601,0.1202369
2001,Automotive,0.069494529,0.092729593,0.155396111,0.142942117
2001,Other,0.045337379,0.060438792,0.106755682,0.102833954
2001,Recreation & culture,0.082741762,0.08805047,0.127520093,0.101606193
2001,Retail,0.075547207,0.118712444,0.139715878,0.121982415
2001,Wholesale,0.064308606,0.098501273,0.186319791,0.110118767
2001,Construction,0.085885239,0.099390332,0.162357443,0.161237466
2001,Other business,0.114363061,0.117335024,0.141161553,0.094961038
2001,Hospitality,0.137867778,0.145321836,0.151522785,0.184917482
2002,Wholesale,0.069905697,0.101080834,0.103003742,0.076876237
2002,Other business,0.121088741,0.11592141,0.098547119,0.076426955
2002,IT,0.094090781,0.167847105,0.068823777,0.059134345
2002,Automotive,0.070534755,0.090865949,0.103054674,0.083322926
2002,Transport,0.081715593,0.104323006,0.115021832,0.079938756
2002,Hospitality,0.13410913,0.145190127,0.136250782,0.129718426
2002,Other service,0.099021799,0.099558071,0.112448483,0.089249714
2002,Retail,0.08258901,0.114089319,0.108388557,0.082778349
2002,Construction,0.091178123,0.098512174,0.109350272,0.078058321
2002,Recreation & culture,0.079002818,0.0969374,0.085042264,0.071101311
2002,Other,0.047517223,0.070979362,0.085714074,0.074129388
2002,Manufacturing,0.063350088,0.102899063,0.120173889,0.109322103
2003,Manufacturing,0.070547243,0.106884917,0.116830777,0.110771741
2003,IT,0.098160609,0.174432238,0.065457831,0.061761126
2003,Transport,0.103021978,0.102427977,0.101239976,0.092385655
2003,Construction,0.106773264,0.099949173,0.067382682,0.096912078
2003,Wholesale,0.07870498,0.099340004,0.1044643,0.082377933
2003,Other,0.049730727,0.071051518,0.081666178,0.078685688
2003,Other business,0.176569102,0.114976436,0.08722148,0.074487198
2003,Automotive,0.079056069,0.091535323,0.097662636,0.088490385
2003,Other service,0.091088912,0.105968888,0.125669698,0.088256051
2003,Recreation & culture,0.082943152,0.097945726,0.076618537,0.08201162
2003,Hospitality,0.138549831,0.149666856,0.109738563,0.205876055
2003,Retail,0.091900493,0.115294176,0.089345509,0.116332788
2004,Automotive,0.076300319,0.092043643,0.114487844,0.079227282
2004,Other,0.047626104,0.072222915,0.094351468,0.072324297
2004,Hospitality,0.126388704,0.158363656,0.141940982,0.128903181
2004,Recreation & culture,0.077715045,0.091983714,0.092807853,0.072585704
2004,Retail,0.087968382,0.116309414,0.111190827,0.087997751
2004,Other business,0.141277345,0.114200018,0.090608097,0.066486511
2004,Wholesale,0.074743135,0.092668367,0.115169207,0.083656551
2004,Construction,0.097725464,0.10295419,0.08120285,0.061629472
2004,Manufacturing,0.06209804,0.104658345,0.124241411,0.116659773
2004,Other service,0.068553556,0.105604266,0.138153105,0.087627544
2004,IT,0.111640745,0.14047096,0.072444342,0.063148878
2004,Transport,0.098228135,0.101348516,0.11813653,0.077389099
2005,Retail,0.082125295,0.116082338,0.113481065,0.09111693
2005,Wholesale,0.067848093,0.091363813,0.118222413,0.079263411
2005,Transport,0.104078862,0.099934752,0.108399316,0.071578465
2005,Other service,0.06179189,0.099774257,0.139460346,0.086751427
2005,Other business,0.13540333,0.112563774,0.094916512,0.059026056
2005,Manufacturing,0.0579673,0.09723735,0.124263905,0.109247858
2005,Other,0.046331181,0.057581666,0.092998675,0.073324338
2005,IT,0.106191551,0.123564979,0.076797807,0.059408255
2005,Automotive,0.069992871,0.088641793,0.109529587,0.076284224
2005,Construction,0.090610753,0.09921003,0.07656815,0.046411728
2005,Hospitality,0.112718761,0.15356021,0.152480807,0.123997914
