name,count,year,company,process,area,density,source
"MP944 (20-bit, 6-chip, 28 chips total)",5360,1970,Garrett AiResearch,?,?,?,https://en.wikipedia.org/wiki/Transistor_count
"TMX 1795 (?-bit, 24-pin)",3078,1971,Texas Instruments,?,30.64 mm2,100.5,
"Intel 4004 (4-bit, 16-pin)",2250,1971,Intel,"10,000 nm",12 mm2,188,
"Intel 8008 (8-bit, 18-pin)",3500,1972,Intel,"10,000 nm",14 mm2,250,
Toshiba TLCS-12 (12-bit),11000,1973,Toshiba,"6,000 nm",32 mm2,340+,
"NEC ?COM-4 (4-bit, 42-pin)",2500,1973,NEC,"7,500 nm[21]",?,?,
"TMS 1000 (4-bit, 28-pin)",8000,1974,Texas Instruments,"8,000 nm",11 mm2,730,
"Motorola 6800 (8-bit, 40-pin)",4100,1974,Motorola,"6,000 nm",16 mm2,256,
"Intel 8080 (8-bit, 40-pin)",6000,1974,Intel,"6,000 nm",20 mm2,300,
"Intel 4040 (4-bit, 16-pin)",3000,1974,Intel,"10,000 nm",12 mm2,250,
"MOS Technology 6502 (8-bit, 40-pin)",4528,1975,MOS Technology,"8,000 nm",21 mm2,216,
"Intersil IM6100 (12-bit, 40-pin; clone of PDP-8)",4000,1975,Intersil,?,?,?,
"CDP 1801 (8-bit, 2-chip, 40-pin)",5000,1975,RCA,?,?,?,
"Zilog Z80 (8-bit, 4-bit ALU, 40-pin)",8500,1976,Zilog,"4,000 nm",18 mm2,470,
TMS9900 (16-bit),8000,1976,Texas Instruments,?,?,?,
"RCA 1802 (8-bit, 40-pin)",5000,1976,RCA,"5,000 nm",27 mm2,185,
"Intel 8085 (8-bit, 40-pin)",6500,1976,Intel,"3,000 nm",20 mm2,325,
Bellmac-8 (8-bit),7000,1977,Bell Labs,"5,000 nm",?,?,
"Motorola 6809 (8-bit with some 16-bit features, 40-pin)",9000,1978,Motorola,"5,000 nm",21 mm2,430,
"Intel 8086 (16-bit, 40-pin)",29000,1978,Intel,"3,000 nm",33 mm2,880,
Zilog Z8000 (16-bit),17500,1979,Zilog,?,?,?,
"Motorola 68000 (16/32-bit, 32-bit registers, 16-bit ALU)",68000,1979,Motorola,"3,500 nm",44 mm2,1550,
"Intel 8088 (16-bit, 8-bit data bus)",29000,1979,Intel,"3,000 nm",33 mm2,880,
"Intel 8051 (8-bit, 40-pin)",50000,1980,Intel,?,?,?,
WDC 65C02,11500,1981,WDC,"3,000 nm",6 mm2,1920,
ROMP (32-bit),45000,1981,IBM,"2,000 nm",?,?,
"Intel 80286 (16-bit, 68-pin)",134000,1982,Intel,"1,500 nm",49 mm2,2730,
"Intel 80186 (16-bit, 68-pin)",55000,1982,Intel,"3,000 nm",60 mm2,920,
WDC 65C816 (8/16-bit),22000,1983,WDC,"3,000 nm[30]",9 mm2,2400,
NEC V20,63000,1984,NEC,?,?,?,
Motorola 68020 (32-bit; 114 pins used),190000,1984,Motorola,"2,000 nm",85 mm2,2200,
Novix NC4016 (16-bit),16000,1985,Harris Corporation,"3,000 nm[34]",?,?,
"Intel 80386 (32-bit, 132-pin; no cache)",275000,1985,Intel,"1,500 nm",104 mm2,2640,
ARM 1 (32-bit; no cache),25000,1985,Acorn,"3,000 nm",50 mm2,500,
Z80000 (32-bit; very small cache),91000,1986,Zilog,?,?,?,
SPARC MB86900 (32-bit; no cache),110000,1986,Fujitsu,"1,200 nm",?,?,
NEC V60[36] (32-bit; no cache),375000,1986,NEC,"1,500 nm",?,?,
"ARM 2 (32-bit, 84-pin; no cache)",27000,1986,Acorn,"2,000 nm",30.25 mm2,890,
TI Explorer's 32-bit Lisp machine chip,553000,1987,Texas Instruments,"2,000 nm[40]",?,?,
NEC V70[36] (32-bit; no cache),385000,1987,NEC,"1,500 nm",?,?,
"Motorola 68030 (32-bit, very small caches)",273000,1987,Motorola,800 nm,102 mm2,2680,
Hitachi Gmicro/200[38],730000,1987,Hitachi,"1,000 nm",?,?,
"Intel i960 (32-bit, 33-bit memory subsystem, no cache)",250000,1988,Intel,"1,500 nm[43]",?,?,
DEC WRL MultiTitan,180000,1988,DEC WRL,"1,500 nm",61 mm2,2950,
"Intel i960CA (32-bit, cache)",600000,1989,Intel,800 nm,143 mm2,4200,
"Intel i860 (32/64-bit, 128-bit SIMD, cache, VLIW)",1000000,1989,Intel,?,?,?,
"Intel 80486 (32-bit, 4 KB cache)",1180235,1989,Intel,"1,000 nm",173 mm2,6822,
"ARM 3 (32-bit, 4 KB cache)",310000,1989,Acorn,"1,500 nm",87 mm2,3600,
"POWER1 (9-chip module, 72 kB of cache)",6900000,1990,IBM,"1,000 nm","1,283.61 mm2",5375,
"Motorola 68040 (32-bit, 8 KB caches)",1200000,1990,Motorola,650 nm,152 mm2,7900,
"R4000 (64-bit, 16 KB of caches)",1350000,1991,MIPS,"1,000 nm",213 mm2,6340,
"ARM 6 (32-bit, no cache for this 60 variant)",35000,1991,ARM,800 nm,?,?,
"Intel i960CF (32-bit, cache)",900000,1992,Intel,?,125 mm2,7200,
"Hitachi SH-1 (32-bit, no cache)",600000,1992,Hitachi,800 nm,100 mm2,6000,
"DEC Alpha 21064 (64-bit, 290-pin; 16 KB of caches)",1680000,1992,DEC,750 nm,233.52 mm2,7190,
"POWER2 (8-chip module, 288 kB of cache)",23037000,1993,IBM,720 nm,"1,217.39 mm2",18923,
"Pentium (32-bit, 16 KB of caches)",3100000,1993,Intel,800 nm,294 mm2,10500,
"Hitachi HARP-1 (32-bit, cache)",2800000,1993,Hitachi,500 nm,267 mm2,10500,
"PowerPC 603 (32-bit, 16 KB of caches)",1600000,1994,Apple/IBM/Motorola,500 nm,84.76 mm2,18900,
"PowerPC 601 (32-bit, 32 KB of caches)",2800000,1994,Apple/IBM/Motorola,600 nm,121 mm2,23000,
"MuP21 (21-bit,[51] 40-pin; includes video)",7000,1994,Offete Enterprises,"1,200 nm",?,?,
"Motorola 68060 (32-bit, 16 KB of caches)",2500000,1994,Motorola,600 nm,218 mm2,11500,
ARM700 (32-bit; 8 KB cache),578977,1994,ARM,700 nm,68.51 mm2,8451,
"SA-110 (32-bit, 32 KB of caches)",2500000,1995,Acorn/DEC/Apple,350 nm,50 mm2,50000,
"PowerPC 603e (32-bit, 32 KB of caches)",2600000,1995,Apple/IBM/Motorola,500 nm,98 mm2,26500,
"Pentium Pro (32-bit, 16 KB of caches;[57] L2 cache on-package, but on separate die)",5500000,1995,Intel,500 nm,307 mm2,18000,
"PA-8000 64-bit, no cache",3800000,1995,HP,500 nm,337.69 mm2,11300,
"Alpha 21164 EV5 (64-bit, 112 kB cache)",9300000,1995,DEC,500 nm,298.65 mm2,31140,
"AMD K5 (32-bit, caches)",4300000,1996,AMD,500 nm,251 mm2,17000,
"Alpha 21164A EV56 (64-bit, 112 kB cache)",9660000,1996,DEC,350 nm,208.8 mm2,46260,
"Pentium II Klamath (32-bit, 64-bit SIMD, caches)",7500000,1997,Intel,350 nm,195 mm2,39000,
"Hitachi SH-4 (32-bit, caches)",10000000,1997,Hitachi,200 nm[62],42 mm2[63],"238,000 (check)",
F21 (21-bit; includes e.g. video),15000,1997,Offete Enterprises,?,?,?,
"AVR (8-bit, 40-pin; w/memory)",140000,1997,Nordic VLSI/Atmel,?,?,?,
