year,riskFreeRate,discountFactor,bond1,bond2,bond3,PV_b1,PV_b2,PV_b3,cycles,wages,asset1,asset2,u1,u2,u3
0,0.01,1,5,7,3,5,7,3,0,10,5,5,5,7,0
1,0.01,0.99009901,5,6.8,3.2,4.95049505,6.732673267,3.168316832,-0.991778853,9.008221147,4.008221147,5.991778853,5,6.8,0
2,0.01,0.980296049,5,6.6,3.4,4.901480247,6.469953926,3.333006568,0.253823363,10.25382336,5.253823363,4.746176637,5,6.6,0
3,0.01,0.970590148,5,6.4,3.6,4.85295074,6.211776947,3.494124533,0.926818505,10.92681851,5.926818505,4.073181495,5,6.4,0
4,0.01,0.960980344,5,6.2,3.8,4.804901722,5.958078136,3.651725309,-0.491021594,9.508978406,4.508978406,5.491021594,5,6.2,0
5,0.01,0.951465688,5,6,4,4.757328438,5.708794126,3.80586275,-0.801152636,9.198847364,4.198847364,5.801152636,5,6,0
6,0.01,0.942045235,5,5.8,4.2,4.710226176,5.463862364,3.956589988,0.696058488,10.69605849,5.696058488,4.303941512,5,5.8,0
7,0.01,0.932718055,5,5.6,4.4,4.663590274,5.223221106,4.103959441,0.623012211,10.62301221,5.623012211,4.376987789,5,5.6,0
8,0.01,0.923483222,5,5.4,4.6,4.617416112,4.986809401,4.248022823,-0.855504371,9.144495629,4.144495629,5.855504371,5,5.4,0
9,0.01,0.914339824,5,5.2,4.8,4.571699121,4.754567086,4.388831156,-0.404065219,9.595934781,4.595934781,5.404065219,5,5.2,0
10,0.01,0.905286955,5,5,5,4.526434773,4.526434773,4.526434773,0.958915723,10.95891572,5.958915723,4.041084277,5,5,5
11,0.01,0.896323718,5,4.8,5.2,4.481618588,4.302353844,4.660883331,0.158652431,10.15865243,5.158652431,4.841347569,5,0,5.2
12,0.01,0.887449225,5,4.6,5.4,4.437246126,4.082266436,4.792225816,-0.999519224,9.000480776,4.000480776,5.999519224,5,0,5.4
13,0.01,0.878662599,5,4.4,5.6,4.393312996,3.866115437,4.920510556,0.097151904,10.0971519,5.097151904,4.902848096,5,0,5.6
14,0.01,0.86996297,5,4.2,5.8,4.349814848,3.653844472,5.045785224,0.974655392,10.97465539,5.974655392,4.025344608,5,0,5.8
15,0.01,0.861349475,5,4,6,4.306747374,3.445397899,5.168096849,-0.346592904,9.653407096,4.653407096,5.346592904,5,0,6
16,0.01,0.852821262,5,3.8,6.2,4.264106311,3.240720796,5.287491826,-0.885952778,9.114047222,4.114047222,5.885952778,5,0,6.2
17,0.01,0.844377487,5,3.6,6.4,4.221887437,3.039758954,5.404015919,0.573332477,10.57333248,5.573332477,4.426667523,5,0,6.4
18,0.01,0.836017314,5,3.4,6.6,4.180086571,2.842458868,5.517714274,0.7392213,10.7392213,5.7392213,4.2607787,5,0,6.6
19,0.01,0.827739915,5,3.2,6.8,4.138699575,2.648767728,5.628631422,-0.762519447,9.237480553,4.237480553,5.762519447,5,0,6.8
20,0.01,0.81954447,5,3,7,4.097722352,2.458633411,5.736811292,-0.544071696,9.455928304,4.455928304,5.544071696,5,0,7
21,0.01,0.811430169,5,2.8,7.2,4.057150843,2.272004472,5.842297214,0.901762291,10.90176229,5.901762291,4.098237709,5,0,7.2
22,0.01,0.803396207,5,2.6,7.4,4.016981033,2.088830137,5.945131929,0.313286037,10.31328604,5.313286037,4.686713963,5,0,7.4
