Entity,Year,Var,Type,Value
World,1950,Trade openness,Trade openness (share of exports and imports in GDP),19.871468
World,1951,Trade openness,Trade openness (share of exports and imports in GDP),22.806437
World,1952,Trade openness,Trade openness (share of exports and imports in GDP),20.580606
World,1953,Trade openness,Trade openness (share of exports and imports in GDP),19.201504
World,1954,Trade openness,Trade openness (share of exports and imports in GDP),19.758888
World,1955,Trade openness,Trade openness (share of exports and imports in GDP),20.456982
World,1956,Trade openness,Trade openness (share of exports and imports in GDP),21.436287
World,1957,Trade openness,Trade openness (share of exports and imports in GDP),21.846004
World,1958,Trade openness,Trade openness (share of exports and imports in GDP),20.046398
World,1959,Trade openness,Trade openness (share of exports and imports in GDP),20.296762
World,1960,Trade openness,Trade openness (share of exports and imports in GDP),22.452469
World,1961,Trade openness,Trade openness (share of exports and imports in GDP),22.073483
World,1962,Trade openness,Trade openness (share of exports and imports in GDP),21.588861
World,1963,Trade openness,Trade openness (share of exports and imports in GDP),22.2605
World,1964,Trade openness,Trade openness (share of exports and imports in GDP),22.499968
World,1965,Trade openness,Trade openness (share of exports and imports in GDP),22.350416
World,1966,Trade openness,Trade openness (share of exports and imports in GDP),22.70961
World,1967,Trade openness,Trade openness (share of exports and imports in GDP),22.502306
World,1968,Trade openness,Trade openness (share of exports and imports in GDP),23.061014
World,1969,Trade openness,Trade openness (share of exports and imports in GDP),23.74553
World,1970,Trade openness,Trade openness (share of exports and imports in GDP),25.736317
World,1971,Trade openness,Trade openness (share of exports and imports in GDP),25.899803
World,1972,Trade openness,Trade openness (share of exports and imports in GDP),26.4878
World,1973,Trade openness,Trade openness (share of exports and imports in GDP),29.613424
World,1974,Trade openness,Trade openness (share of exports and imports in GDP),35.867023
World,1975,Trade openness,Trade openness (share of exports and imports in GDP),33.960354
World,1976,Trade openness,Trade openness (share of exports and imports in GDP),34.94896
World,1977,Trade openness,Trade openness (share of exports and imports in GDP),35.216984
World,1978,Trade openness,Trade openness (share of exports and imports in GDP),34.361385
World,1979,Trade openness,Trade openness (share of exports and imports in GDP),37.190536
World,1980,Trade openness,Trade openness (share of exports and imports in GDP),39.995354
World,1981,Trade openness,Trade openness (share of exports and imports in GDP),39.36169
