Series,Source,Title,SubTitle,SubTitle2,Type,Colour,startDate,frequency,dataPage,articlesECO,dataLink,dataType,rank,mark,order,indexToCh,Country,API_base,API_Full
UNRATE,FRED,Unemployment,Ages 16 and over - %,,Headline,red,1980,monthly,https://fred.stlouisfed.org/series/UNRATE,https://www.economicsobservatory.com/is-work-in-the-uk-becoming-more-insecure,,json,1,line,1,0,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=UNRATE
CPIAUCSL,FRED,Inflation,CPI all urban consumers,,Headline,red,1980,monthly,https://fred.stlouisfed.org/series/CPIAUCSL,https://www.economicsobservatory.com/is-inflation-avoidable,,json,1,line,2,12,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=CPIAUCSL
CPILFESL,FRED,Inflation - core,CPI ex food and energy,,,red,1980,monthly,https://fred.stlouisfed.org/series/CPILFESL,,,json,1,line,3,12,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=CPILFESL
GDPC1,FRED,Growth,Real GDP,,Headline,red,2005,quarters,https://fred.stlouisfed.org/series/GDPC1,https://www.economicsobservatory.com/what-do-the-latest-uk-data-reveal-about-regional-gdp,,json,1,bar,4,4,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=GDPC1
OPHNFB,FRED,Productivity,Output per hour,,,red,1955,quarters,https://fred.stlouisfed.org/series/OPHNFB,,,json,1,line,5,0,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=OPHNFB
USSTHPI,FRED,House Prices,Average,,Housing,red,1986,annual,https://fred.stlouisfed.org/series/USSTHPI,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_HousePrices.csv,json,1,line,6,0,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=USSTHPI
SIPOVGINIUSA,FRED,Inequality,Gini coefficient - disposable income,,Income,red,1995,annual,https://fred.stlouisfed.org/series/SIPOVGINIUSA,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_GINI.csv,json,1,line,7,0,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=SIPOVGINIUSA
LRIN64TTUSQ156S,FRED,Inactivity,Age 16-64 - % workforce,,Headline,red,1980,quarters,https://fred.stlouisfed.org/series/LRIN64TTUSQ156S,https://www.economicsobservatory.com/how-has-employment-of-older-workers-changed-since-the-pandemic,,json,2,line,8,0,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=LRIN64TTUSQ156S
GFDEGDQ188S,FRED,Debt,Public Sector Net Debt - % GDP,,Headline,red,2000,quarters,https://fred.stlouisfed.org/series/GFDEGDQ188S,https://www.economicsobservatory.com/which-taxes-might-help-to-restore-sustainability-of-the-public-finances,,json,1,line,9,0,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=GFDEGDQ188S
DGS10,FRED,Debt costs,10 year government bond yield,,Headline,red,1960,daily,https://fred.stlouisfed.org/series/DGS10,,https://raw.githubusercontent.com/RDeconomist/RDeconomist.github.io/main/data/uk/data_UK_BondYield.csv,json,1,line,10,0,US,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=,https://api.stlouisfed.org/fred/series/observations?api_key=22ee7a76e736e32f54f5df0a7171538d&file_type=json&series_id=DGS10
